"Živorojeni po dnevu rojstva, Slovenija, meseèno"
"2010M11",1759,39,51,56,65,80,51,49,82,61,62,72,79,45,47,62,59,61,55,59,44,49,57,56,54,56,78,51,39,74,66,-
"2010M12",1781,58,65,64,48,48,64,56,68,59,63,55,41,58,62,59,60,64,40,40,62,72,62,81,71,45,42,65,48,60,61,40
"2011M01",1868,47,43,65,73,59,76,58,53,55,71,60,59,58,89,41,46,56,62,60,74,86,51,56,46,77,59,54,73,42,48,71
"2011M02",1603,72,62,65,70,55,36,53,51,59,67,60,36,56,65,57,60,52,59,45,43,56,58,64,81,63,46,48,64,-,-,-
"2011M03",1815,60,45,63,73,42,46,71,57,57,69,64,47,56,73,58,50,71,62,43,51,68,60,56,54,65,58,45,60,67,58,66
"2011M04",1790,74,37,52,66,53,56,63,78,48,57,61,55,61,68,60,45,55,52,52,62,72,71,50,52,63,86,56,71,68,46,-
"2011M05",1829,62,39,55,68,66,68,65,47,59,51,61,59,56,45,34,77,49,78,64,75,52,54,66,58,79,68,60,46,25,70,73
"2011M06",1794,59,64,52,42,62,45,64,66,65,58,44,49,62,59,56,78,60,62,39,61,70,65,57,74,43,50,73,71,67,77,-
"2011M07",2013,67,54,54,57,76,71,70,71,57,54,61,76,65,68,66,47,52,68,64,84,81,56,64,49,90,58,60,74,79,62,58
"2011M08",2027,63,75,71,82,68,41,55,96,66,62,73,63,66,56,48,75,64,71,76,53,52,75,69,68,74,77,50,45,60,67,66
"2011M09",1932,64,69,68,33,55,59,69,65,73,56,59,88,66,66,59,76,54,57,59,80,76,67,80,61,42,76,60,57,67,71,-
"2011M10",1780,46,58,59,61,59,61,73,53,34,50,60,58,70,59,53,30,68,61,61,76,67,43,49,58,70,71,48,71,49,48,56
"2011M11",1785,57,62,71,76,51,45,59,54,68,74,76,46,43,71,57,65,54,64,55,44,53,62,48,75,61,63,47,64,58,62,-
"2011M12",1711,71,59,35,44,64,55,51,47,69,43,38,66,60,71,62,75,37,52,62,78,65,45,57,39,44,48,66,59,55,53,41
"2012M01",1852,47,45,55,54,62,77,44,65,60,54,67,74,77,50,54,58,65,50,48,71,48,47,74,83,65,64,46,63,51,75,59
"2012M02",1670,52,61,61,37,54,70,70,46,62,64,47,47,69,63,73,62,82,49,51,52,51,60,62,55,56,40,66,57,51,-,-
"2012M03",1704,69,72,55,39,63,51,43,64,53,40,32,63,60,59,68,58,43,37,53,68,58,66,66,41,32,56,63,55,71,66,40
"2012M04",1791,48,52,58,66,74,62,44,44,60,60,63,67,61,50,52,62,65,65,48,72,51,52,59,71,70,89,56,59,46,65,-
"2012M05",1903,54,48,66,84,62,53,74,67,73,65,74,56,49,71,70,62,60,74,55,42,65,58,65,73,60,45,44,57,69,56,52
"2012M06",1758,64,51,36,68,49,75,62,56,50,37,70,58,58,62,58,52,50,57,50,75,63,71,57,44,65,75,65,73,60,47,-
"2012M07",1945,36,77,68,65,76,73,47,42,59,72,75,52,72,44,51,57,81,77,61,69,52,53,61,71,71,61,81,52,52,73,64
"2012M08",1979,72,67,74,48,55,57,72,65,58,79,54,45,66,68,56,74,71,43,61,81,80,73,80,63,48,55,66,63,56,70,59
"2012M09",1967,57,44,71,83,59,84,68,59,54,65,71,72,68,73,62,61,56,75,61,81,68,51,47,71,88,69,61,80,61,47,-
"2012M10",1936,72,73,71,64,59,42,57,72,59,77,59,69,57,43,63,82,66,65,74,51,43,69,63,65,68,61,46,51,73,74,48
"2012M11",1770,48,79,66,36,62,59,74,68,74,44,54,87,69,56,63,64,55,37,62,53,53,62,73,49,32,49,65,69,53,55,-
"2012M12",1663,52,40,66,56,61,64,57,45,38,74,54,76,64,51,46,44,67,62,53,55,68,41,42,63,27,55,55,63,36,34,54
"2013M01",1727,46,54,49,54,40,45,58,46,58,64,68,58,48,66,63,64,58,72,49,64,69,60,55,59,63,37,30,69,51,47,63
"2013M02",1495,48,53,52,53,63,53,71,46,45,35,58,70,56,57,59,46,39,48,49,59,57,56,47,44,48,59,55,69,-,-,-
"2013M03",1730,67,41,43,73,53,65,54,73,44,48,64,67,70,58,66,48,42,50,50,63,64,63,46,51,58,48,58,66,55,45,37
"2013M04",1623,41,54,60,49,64,55,46,57,63,58,47,58,38,38,72,55,64,71,55,48,34,64,55,52,60,54,44,46,59,62,-
"2013M05",1841,55,49,72,48,65,58,66,72,58,56,50,46,73,54,65,64,61,43,45,73,66,55,54,61,42,56,60,71,69,62,72
"2013M06",1752,36,47,82,66,56,60,50,49,60,73,67,53,70,55,43,42,65,59,69,66,50,57,47,69,41,67,73,68,55,57,-
"2013M07",1957,75,63,68,74,64,59,53,57,52,76,73,68,36,60,68,62,60,65,84,44,77,65,73,67,69,49,63,42,68,67,56
"2013M08",1920,73,72,57,56,62,73,61,73,67,64,48,66,61,57,58,65,47,61,68,77,60,68,71,45,42,64,64,63,69,70,38
"2013M09",1897,51,63,80,67,54,73,40,49,83,65,53,60,64,48,51,72,73,68,64,64,68,43,71,68,77,75,67,56,53,77,-
"2013M10",1877,74,61,67,77,78,43,79,63,56,59,63,58,39,57,70,62,77,74,54,46,65,52,52,53,55,46,65,64,52,69,47
"2013M11",1672,28,42,46,66,74,70,72,58,36,38,54,71,49,59,72,45,41,53,57,60,63,70,43,44,62,60,61,69,55,54,-
"2013M12",1620,44,54,49,49,57,54,50,43,77,67,51,47,53,43,44,61,48,61,66,70,47,37,62,60,46,41,56,50,47,44,42
"2014M01",1760,50,73,57,42,61,56,73,63,56,64,43,45,58,55,44,68,72,49,56,59,50,55,51,64,39,40,79,60,58,65,55
"2014M02",1532,44,48,54,57,51,69,61,40,36,54,55,56,56,67,47,50,53,60,57,63,60,56,39,53,70,60,52,64,-,-,-
"2014M03",1701,55,52,68,51,43,57,67,52,35,56,60,65,57,58,52,58,61,59,58,56,57,55,43,58,51,52,55,66,46,43,55
"2014M04",1794,51,51,63,59,41,39,64,70,72,63,72,45,41,69,64,65,61,61,59,41,41,78,62,76,79,56,41,73,66,71,-
"2014M05",1806,55,55,51,45,64,71,68,62,54,44,43,67,61,61,56,58,52,40,57,59,61,78,56,62,35,70,65,62,66,73,55
"2014M06",1767,39,58,59,54,63,70,49,44,69,67,69,67,59,51,44,52,66,68,55,62,56,56,60,74,50,64,75,50,51,66,-
"2014M07",1954,61,59,70,65,47,40,65,63,61,73,76,48,63,87,64,73,73,50,68,60,68,57,75,74,63,56,36,64,66,70,59
"2014M08",1934,60,58,60,77,79,63,66,67,54,52,80,55,62,84,56,51,58,63,60,64,77,72,42,39,70,53,75,63,71,60,43
"2014M09",1845,68,54,52,65,65,48,29,58,69,69,68,62,54,43,65,84,71,73,72,65,47,70,67,70,61,72,49,46,71,58,-
"2014M10",1853,78,64,62,54,42,77,70,57,53,77,40,42,66,57,71,68,68,46,50,63,69,61,62,62,41,59,55,63,71,57,48
"2014M11",1588,41,52,60,60,55,71,61,54,42,63,63,60,49,60,33,44,64,46,41,56,61,53,35,56,56,52,51,61,53,35,-
"2014M12",1631,57,56,59,52,56,35,42,64,64,37,54,63,38,33,56,66,63,61,60,41,44,64,58,62,43,45,42,54,57,53,52
"2015M01",1729,38,65,59,53,63,67,53,59,54,44,37,56,67,63,63,74,54,47,58,66,63,56,61,41,38,63,51,44,59,67,46
"2015M02",1560,43,71,59,56,68,64,51,41,66,58,53,69,50,44,40,49,67,64,48,62,42,48,68,61,61,55,63,39,-,-,-
"2015M03",1599,36,49,61,55,63,80,29,44,44,67,52,57,60,39,48,51,66,63,59,56,35,36,51,59,51,33,54,51,40,43,67
"2015M04",1662,52,43,59,40,38,51,59,66,55,89,39,37,65,62,58,61,67,45,45,75,55,53,62,65,44,44,54,47,70,62,-
"2015M05",1826,49,55,49,82,62,61,57,66,54,54,68,60,75,69,68,46,48,53,56,65,52,66,49,54,85,59,52,55,56,51,50
"2015M06",1802,66,66,59,62,58,52,39,64,66,56,61,67,45,33,76,71,70,72,56,54,47,59,55,83,65,67,54,51,60,68,-
"2015M07",1910,64,76,74,50,51,82,75,78,54,61,49,50,61,67,65,57,65,48,52,61,71,58,50,63,40,52,69,54,66,76,71
"2015M08",1820,53,42,60,49,70,58,75,64,40,50,73,67,47,59,57,46,69,73,67,70,58,54,48,61,73,58,51,58,48,54,68
"2015M09",1807,58,63,58,59,50,44,68,73,62,67,56,39,38,58,58,64,47,69,38,60,65,79,81,70,83,54,48,54,74,70,-
"2015M10",1759,77,67,54,48,72,71,78,63,56,55,36,68,54,50,46,57,59,40,57,53,62,65,60,35,47,59,63,50,55,52,50
"2015M11",1608,39,68,51,52,56,63,51,42,55,58,56,46,60,46,52,56,67,51,60,69,44,51,65,47,58,46,53,36,50,60,-
"2015M12",1559,42,56,53,68,48,53,62,46,46,55,62,39,42,63,65,66,60,46,43,46,53,51,59,39,36,36,42,44,44,49,45
"2016M01",1702,42,51,41,57,56,67,51,66,45,40,57,57,59,66,45,57,48,68,62,66,68,76,49,41,57,60,54,48,57,42,49
"2016M02",1529,54,64,60,49,64,46,52,46,62,62,39,55,46,48,62,52,61,47,43,39,37,65,65,56,56,75,47,35,42,-,-
"2016M03",1684,66,63,62,66,39,34,62,63,57,57,54,41,52,62,51,68,51,50,48,35,47,57,60,49,73,62,44,39,59,53,60
"2016M04",1630,60,59,50,62,67,51,59,64,54,37,49,55,54,56,73,48,50,52,54,57,56,63,49,36,39,60,41,59,61,55,-
"2016M05",1716,42,56,49,71,56,55,39,45,68,66,45,65,48,40,40,66,55,68,57,61,44,57,68,49,57,68,53,47,59,65,57
"2016M06",1710,56,66,67,35,44,62,58,67,60,64,42,35,68,55,59,54,55,46,37,70,62,80,73,58,47,55,60,54,59,62,-
"2016M07",1898,60,46,40,60,68,57,56,83,58,51,51,52,65,65,69,52,37,72,82,83,83,65,41,57,67,54,74,73,78,46,53
"2016M08",1862,64,53,66,61,70,51,42,72,54,55,58,66,58,61,52,68,72,53,56,53,57,72,75,61,55,68,56,56,50,71,56
"2016M09",1852,58,79,45,39,71,68,62,62,71,43,40,92,42,74,66,71,59,56,78,79,67,54,67,55,52,60,52,58,56,76,-
"2016M10",1676,55,48,76,67,56,55,69,38,42,73,57,54,50,58,36,54,54,34,62,49,73,53,45,51,48,47,66,63,55,35,53
"2016M11",1545,33,71,64,59,39,43,62,75,55,54,58,51,39,37,57,52,69,49,40,44,53,48,53,46,46,39,49,63,51,46,-
"2016M12",1541,60,59,48,41,55,58,53,51,48,56,34,40,59,47,49,62,41,32,57,50,54,54,62,37,36,41,49,62,51,48,47
"2017M01",1626,37,37,54,65,46,67,44,40,55,56,68,62,57,36,34,62,55,53,65,51,53,38,54,79,61,51,60,45,39,54,48
"2017M02",1503,49,67,46,43,42,70,56,52,73,71,38,30,58,59,61,60,61,44,45,56,56,50,61,60,51,33,58,53,-,-,-
"2017M03",1639,51,40,51,60,46,47,58,71,55,56,42,47,65,71,71,61,52,45,43,55,52,51,58,54,39,31,51,45,46,55,70
"2017M04",1628,45,37,56,57,47,66,54,52,48,47,69,76,51,48,47,33,33,54,79,66,65,53,41,58,66,68,47,72,51,42,-
"2017M05",1733,48,48,66,62,59,40,51,59,48,54,44,68,55,53,49,59,57,57,66,58,38,62,61,66,61,49,57,50,55,61,72
"2017M06",1751,62,77,51,47,62,62,56,58,70,54,49,65,64,62,73,74,44,37,55,59,53,64,72,47,57,52,58,54,61,52,-
"2017M07",1884,48,32,50,61,65,67,78,56,49,80,68,47,67,70,43,61,64,58,63,77,61,62,42,76,57,68,69,81,51,51,62
"2017M08",1893,60,59,62,53,55,57,73,75,69,64,68,56,48,73,48,58,84,77,53,45,53,59,68,67,67,50,31,82,53,67,59
"2017M09",1765,85,48,48,58,56,64,70,62,49,40,61,66,46,54,61,51,60,45,68,60,61,73,49,41,67,68,67,62,77,48,-
"2017M10",1753,55,72,57,57,72,49,48,46,56,58,52,66,67,46,50,64,68,59,63,58,34,48,59,58,61,62,56,54,42,57,59
"2017M11",1548,45,59,71,46,36,58,63,51,64,65,58,35,47,49,60,46,58,35,32,38,48,51,50,56,54,42,58,49,63,61,-
"2017M12",1518,54,37,24,40,66,47,62,58,37,48,59,42,63,58,67,38,35,57,53,42,54,57,43,48,45,41,53,58,46,43,43
"2018M01",1628,54,38,48,56,65,46,37,61,55,57,55,67,44,50,49,40,57,39,65,48,43,63,53,61,61,51,45,50,56,55,59
"2018M02",1464,59,65,48,39,55,63,54,45,57,48,49,68,49,56,54,67,55,43,47,49,57,52,47,46,40,53,51,48,-,-,-
"2018M03",1611,61,48,52,41,67,49,57,56,52,32,48,48,72,52,46,56,38,41,59,54,48,47,57,36,42,66,57,64,63,58,44
"2018M04",1525,30,41,61,54,55,61,38,42,56,61,41,56,52,40,37,52,43,62,59,60,46,42,51,81,53,66,48,41,48,48,-
"2018M05",1680,49,42,58,61,61,44,56,57,60,61,73,36,38,58,53,58,72,43,42,48,56,47,63,67,57,45,39,54,64,63,55
"2018M06",1680,76,35,39,65,62,62,54,57,47,49,51,51,54,54,68,56,41,64,69,64,54,71,33,44,49,60,72,57,68,54,-
"2018M07",1811,45,54,68,72,83,61,48,45,69,61,65,56,71,46,46,63,79,65,45,44,54,56,59,60,70,61,62,41,38,59,65
"2018M08",1774,62,79,67,51,52,57,66,66,54,66,43,43,56,67,33,67,61,47,51,57,53,59,69,61,43,38,66,62,56,67,55
"2018M09",1690,49,35,64,58,62,57,56,50,40,60,65,68,70,56,41,45,55,69,64,68,72,43,45,53,73,56,64,68,46,38,-
"2018M10",1671,57,45,78,60,74,43,31,63,54,56,60,48,41,38,52,50,56,71,47,52,52,58,54,67,65,64,48,44,48,53,42
"2018M11",1560,33,64,42,50,67,61,57,61,56,53,25,65,54,44,50,62,36,45,57,56,58,52,61,35,45,61,55,59,48,48,-
"2018M12",1491,30,36,55,59,66,54,55,30,34,54,47,50,43,53,42,30,65,54,67,58,57,52,39,56,27,33,51,49,41,37,67
"2019M01",1656,48,33,57,76,48,33,65,60,49,51,55,43,41,69,48,61,66,62,57,33,62,51,62,61,51,45,47,58,47,64,53
"2019M02",1325,47,34,38,60,49,67,49,33,39,43,64,61,45,38,55,33,34,55,37,47,51,53,41,30,54,55,66,47,-,-,-
"2019M03",1584,64,50,48,51,54,45,48,56,53,34,48,59,66,57,62,49,38,56,51,52,66,56,44,40,53,47,45,54,55,44,39
"2019M04",1545,33,51,50,61,60,38,43,55,59,59,66,46,45,41,65,57,50,76,53,38,32,48,51,45,66,64,39,41,64,49,-
"2019M05",1676,46,41,60,48,43,63,61,56,49,62,43,33,49,51,61,81,73,52,41,54,70,46,73,58,42,44,57,58,52,51,58
"2019M06",1635,52,37,61,65,51,72,55,51,50,56,70,68,63,57,52,32,61,61,54,74,52,45,37,48,48,47,70,59,57,30,-
"2019M07",1788,74,56,73,52,60,32,47,63,56,51,62,63,34,40,55,69,77,64,67,47,46,67,59,52,65,65,50,58,58,64,62
"2019M08",1731,75,57,56,41,52,63,66,63,58,51,42,69,49,53,42,64,32,40,62,62,67,52,64,53,46,60,52,55,54,71,60
"2019M09",1685,39,52,56,59,53,53,46,51,67,60,63,48,71,39,50,69,68,71,65,65,49,39,58,48,68,57,67,48,42,64,-
"2019M10",1690,68,81,75,53,53,46,52,41,79,74,78,44,31,63,69,59,51,39,39,35,54,49,56,52,57,47,34,55,62,51,43
"2019M11",1531,48,51,48,54,48,57,51,54,33,35,62,63,56,69,70,37,36,57,52,55,64,58,36,35,60,54,49,47,46,46,-
"2019M12",1482,41,63,55,47,50,60,38,32,48,46,55,62,58,41,33,53,46,36,69,63,34,35,73,43,33,41,53,36,37,55,46
"2020M01",1576,59,36,67,43,37,53,67,47,66,55,42,28,48,55,42,55,67,45,33,44,48,67,53,55,51,29,52,53,63,57,59
"2020M02",1350,36,31,59,47,50,46,49,39,28,54,60,51,59,45,42,34,62,58,51,54,39,48,29,52,41,50,51,57,28,-,-
"2020M03",1527,36,50,62,53,56,59,45,37,45,51,44,54,57,55,35,52,47,61,52,49,48,28,64,46,61,55,46,38,38,51,52
"2020M04",1480,55,56,50,55,40,52,46,45,66,55,42,30,33,63,51,53,45,35,43,52,49,57,47,58,48,50,42,34,66,62,-
"2020M05",1606,46,37,36,51,61,55,46,54,34,46,51,60,59,78,72,52,43,60,61,56,55,64,53,31,54,38,42,57,59,51,44
"2020M06",1606,59,50,60,54,44,50,41,57,59,67,52,56,41,39,63,53,50,56,53,46,44,61,54,78,42,63,40,45,65,64,-
"2020M07",1707,56,50,59,36,56,64,60,48,63,59,48,40,38,73,50,66,63,43,45,50,55,69,65,60,56,51,70,49,46,50,69
"2020M08",1737,55,38,57,62,59,61,54,51,42,57,73,67,62,66,44,48,70,61,59,57,58,60,33,59,59,72,57,49,48,42,57
"2020M09",1697,55,49,54,53,51,47,55,62,61,57,58,49,33,66,61,57,60,58,43,42,68,57,64,60,66,62,47,74,59,69,-
"2020M10",1648,61,55,48,49,52,53,54,67,43,53,41,56,44,65,71,49,44,41,70,56,55,51,61,44,34,70,48,57,59,64,33
"2020M11",1402,33,47,42,50,52,61,51,31,45,56,59,53,54,36,40,48,44,45,53,59,44,25,55,52,52,44,55,42,34,40,-
"2020M12",1431,40,51,41,53,49,40,49,58,40,56,44,41,28,42,53,58,61,51,39,27,58,57,40,45,43,28,33,56,56,47,47
"2021M01 (zaèasni podatki)",1544,37,44,44,57,58,53,61,58,38,46,50,72,48,52,59,43,49,51,45,43,58,45,54,47,50,57,51,53,48,44,29
"2021M02 (zaèasni podatki)",1331,48,57,53,49,55,48,27,43,63,52,60,44,42,32,47,52,42,47,45,43,55,48,56,47,48,50,37,41,-,-,-
"2021M03 (zaèasni podatki)",1556,64,46,60,45,53,37,23,51,52,48,60,67,31,42,45,56,52,62,58,50,35,47,54,69,57,55,46,40,52,45,54
"2021M04 (zaèasni podatki)",1496,60,58,38,40,27,57,58,52,49,47,29,52,47,61,55,51,39,44,50,48,49,56,68,43,41,68,46,54,57,52,-
"2021M05 (zaèasni podatki)",1498,34,44,55,45,65,57,50,40,37,56,48,50,50,60,51,45,44,49,52,52,50,32,31,49,52,56,61,57,42,31,53
"2021M06 (zaèasni podatki)",1512,47,54,60,60,46,36,56,56,65,43,53,52,38,49,59,55,51,55,46,35,56,46,49,45,42,53,38,63,55,49,-
"2021M07 (zaèasni podatki)",1710,53,61,48,52,53,54,65,68,64,60,36,57,57,64,55,65,42,55,46,55,59,60,51,45,38,55,55,60,75,63,39
"2021M08 (zaèasni podatki)",1755,40,70,61,59,57,74,44,53,61,58,47,60,40,47,55,61,63,63,67,76,45,44,65,46,63,53,65,42,47,63,66
"2021M09 (zaèasni podatki)",1625,51,58,66,47,33,58,46,57,57,47,43,50,65,69,58,65,57,42,40,57,62,65,61,63,42,40,65,52,54,55,-
